lr: [0.001]Epoch 1, Train Loss:7.29, Valid_Loss:5.27, Valid_Accuracy:3.75% 
lr: [0.0005370317963702526]Epoch 81, Train Loss:0.92, Valid_Loss:0.40, Valid_Accuracy:81.25% 
lr: [0.0005370317963702526]Epoch 82, Train Loss:0.52, Valid_Loss:0.99, Valid_Accuracy:78.75% 
lr: [0.0005370317963702526]Epoch 83, Train Loss:3.77, Valid_Loss:0.72, Valid_Accuracy:80.62% 
lr: [0.0005248074602497725]Epoch 84, Train Loss:7.21, Valid_Loss:1.06, Valid_Accuracy:86.88% 
lr: [0.0005248074602497725]Epoch 85, Train Loss:1.05, Valid_Loss:0.58, Valid_Accuracy:80.62% 
lr: [0.0005248074602497725]Epoch 86, Train Loss:1.82, Valid_Loss:0.76, Valid_Accuracy:82.50% 
lr: [0.0005128613839913647]Epoch 87, Train Loss:2.24, Valid_Loss:0.43, Valid_Accuracy:83.75% 
lr: [0.0005128613839913647]Epoch 88, Train Loss:0.45, Valid_Loss:0.79, Valid_Accuracy:80.00% 
lr: [0.0005128613839913647]Epoch 89, Train Loss:0.25, Valid_Loss:0.17, Valid_Accuracy:84.38% 
lr: [0.0005011872336272722]Epoch 90, Train Loss:1.19, Valid_Loss:0.44, Valid_Accuracy:84.38% 
lr: [0.0005011872336272722]Epoch 91, Train Loss:4.20, Valid_Loss:0.82, Valid_Accuracy:83.12% 
lr: [0.0005011872336272722]Epoch 92, Train Loss:1.90, Valid_Loss:1.63, Valid_Accuracy:83.12% 
lr: [0.0004897788193684461]Epoch 93, Train Loss:6.80, Valid_Loss:0.39, Valid_Accuracy:83.75% 
lr: [0.0004897788193684461]Epoch 94, Train Loss:1.60, Valid_Loss:0.88, Valid_Accuracy:82.50% 
lr: [0.0004897788193684461]Epoch 95, Train Loss:11.37, Valid_Loss:0.62, Valid_Accuracy:80.00% 
lr: [0.00047863009232263827]Epoch 96, Train Loss:4.50, Valid_Loss:1.63, Valid_Accuracy:55.62% 
lr: [0.00047863009232263827]Epoch 97, Train Loss:5.70, Valid_Loss:2.63, Valid_Accuracy:62.50% 
lr: [0.00047863009232263827]Epoch 98, Train Loss:0.31, Valid_Loss:0.60, Valid_Accuracy:78.12% 
lr: [0.00046773514128719813]Epoch 99, Train Loss:0.54, Valid_Loss:1.31, Valid_Accuracy:76.88% 
lr: [0.00046773514128719813]Epoch 100, Train Loss:0.50, Valid_Loss:1.32, Valid_Accuracy:71.25% 
lr: [0.00046773514128719813]Epoch 101, Train Loss:2.38, Valid_Loss:0.54, Valid_Accuracy:78.75% 
lr: [0.000457088189614875]Epoch 102, Train Loss:4.64, Valid_Loss:0.76, Valid_Accuracy:78.12% 
lr: [0.000457088189614875]Epoch 103, Train Loss:6.61, Valid_Loss:0.46, Valid_Accuracy:82.50% 
lr: [0.000457088189614875]Epoch 104, Train Loss:1.77, Valid_Loss:0.47, Valid_Accuracy:78.12% 
lr: [0.00044668359215096305]Epoch 105, Train Loss:1.35, Valid_Loss:1.00, Valid_Accuracy:76.25% 
lr: [0.00044668359215096305]Epoch 106, Train Loss:6.66, Valid_Loss:0.43, Valid_Accuracy:78.12% 
lr: [0.00044668359215096305]Epoch 107, Train Loss:1.76, Valid_Loss:1.15, Valid_Accuracy:77.50% 
lr: [0.0004365158322401659]Epoch 108, Train Loss:0.66, Valid_Loss:0.93, Valid_Accuracy:83.75% 
lr: [0.0004365158322401659]Epoch 109, Train Loss:3.92, Valid_Loss:0.77, Valid_Accuracy:81.88% 
lr: [0.0004365158322401659]Epoch 110, Train Loss:2.25, Valid_Loss:0.17, Valid_Accuracy:77.50% 
lr: [0.00042657951880159257]Epoch 111, Train Loss:3.00, Valid_Loss:1.12, Valid_Accuracy:79.38% 
lr: [0.00042657951880159257]Epoch 112, Train Loss:0.03, Valid_Loss:0.03, Valid_Accuracy:81.88% 
lr: [0.00042657951880159257]Epoch 113, Train Loss:1.11, Valid_Loss:0.23, Valid_Accuracy:79.38% 
lr: [0.0004168693834703353]Epoch 114, Train Loss:3.53, Valid_Loss:0.79, Valid_Accuracy:80.62% 
lr: [0.0004168693834703353]Epoch 115, Train Loss:1.04, Valid_Loss:1.05, Valid_Accuracy:83.75% 
lr: [0.0004168693834703353]Epoch 116, Train Loss:3.17, Valid_Loss:0.38, Valid_Accuracy:84.38% 
lr: [0.0004073802778041126]Epoch 117, Train Loss:0.35, Valid_Loss:1.01, Valid_Accuracy:83.12% 
lr: [0.0004073802778041126]Epoch 118, Train Loss:4.23, Valid_Loss:0.23, Valid_Accuracy:81.25% 
lr: [0.0004073802778041126]Epoch 119, Train Loss:2.47, Valid_Loss:0.52, Valid_Accuracy:80.62% 
lr: [0.00039810717055349714]Epoch 120, Train Loss:0.32, Valid_Loss:0.47, Valid_Accuracy:81.25% 
lr: [0.00039810717055349714]Epoch 121, Train Loss:0.34, Valid_Loss:1.69, Valid_Accuracy:83.75% 
lr: [0.00039810717055349714]Epoch 122, Train Loss:0.17, Valid_Loss:0.17, Valid_Accuracy:81.88% 
lr: [0.0003890451449942805]Epoch 123, Train Loss:0.09, Valid_Loss:0.52, Valid_Accuracy:81.25% 
lr: [0.0003890451449942805]Epoch 124, Train Loss:0.44, Valid_Loss:0.93, Valid_Accuracy:83.12% 
lr: [0.0003890451449942805]Epoch 125, Train Loss:7.14, Valid_Loss:1.02, Valid_Accuracy:80.62% 
lr: [0.0003801893963205611]Epoch 126, Train Loss:0.78, Valid_Loss:0.56, Valid_Accuracy:79.38% 
lr: [0.0003801893963205611]Epoch 127, Train Loss:1.73, Valid_Loss:0.21, Valid_Accuracy:85.00% 
lr: [0.0003801893963205611]Epoch 128, Train Loss:5.01, Valid_Loss:1.77, Valid_Accuracy:81.25% 
lr: [0.0003715352290971724]Epoch 129, Train Loss:6.09, Valid_Loss:0.16, Valid_Accuracy:81.88% 
lr: [0.0003715352290971724]Epoch 130, Train Loss:2.96, Valid_Loss:0.16, Valid_Accuracy:82.50% 
lr: [0.0003715352290971724]Epoch 131, Train Loss:0.70, Valid_Loss:0.64, Valid_Accuracy:83.75% 
lr: [0.00036307805477010124]Epoch 132, Train Loss:2.12, Valid_Loss:0.13, Valid_Accuracy:85.00% 
lr: [0.00036307805477010124]Epoch 133, Train Loss:3.71, Valid_Loss:0.71, Valid_Accuracy:86.25% 
lr: [0.00036307805477010124]Epoch 134, Train Loss:0.05, Valid_Loss:0.72, Valid_Accuracy:83.12% 
lr: [0.0003548133892335754]Epoch 135, Train Loss:0.58, Valid_Loss:0.27, Valid_Accuracy:86.25% 
lr: [0.0003548133892335754]Epoch 136, Train Loss:0.54, Valid_Loss:0.43, Valid_Accuracy:87.50% 
lr: [0.0003548133892335754]Epoch 137, Train Loss:0.01, Valid_Loss:0.78, Valid_Accuracy:86.88% 
lr: [0.0003467368504525316]Epoch 138, Train Loss:1.44, Valid_Loss:0.99, Valid_Accuracy:83.12% 
lr: [0.0003467368504525316]Epoch 139, Train Loss:1.42, Valid_Loss:0.67, Valid_Accuracy:85.00% 
lr: [0.0003467368504525316]Epoch 140, Train Loss:1.15, Valid_Loss:0.61, Valid_Accuracy:84.38% 
lr: [0.00033884415613920246]Epoch 141, Train Loss:0.16, Valid_Loss:1.17, Valid_Accuracy:85.00% 
lr: [0.00033884415613920246]Epoch 142, Train Loss:0.09, Valid_Loss:0.39, Valid_Accuracy:82.50% 
lr: [0.00033884415613920246]Epoch 143, Train Loss:7.09, Valid_Loss:0.63, Valid_Accuracy:84.38% 
lr: [0.000331131121482591]Epoch 144, Train Loss:10.08, Valid_Loss:1.32, Valid_Accuracy:74.38% 
lr: [0.000331131121482591]Epoch 145, Train Loss:11.67, Valid_Loss:0.76, Valid_Accuracy:65.62% 
lr: [0.000331131121482591]Epoch 146, Train Loss:1.54, Valid_Loss:1.29, Valid_Accuracy:66.88% 
lr: [0.00032359365692962816]Epoch 147, Train Loss:4.58, Valid_Loss:1.15, Valid_Accuracy:70.62% 
lr: [0.00032359365692962816]Epoch 148, Train Loss:6.85, Valid_Loss:0.73, Valid_Accuracy:76.88% 
lr: [0.00032359365692962816]Epoch 149, Train Loss:3.78, Valid_Loss:0.50, Valid_Accuracy:73.75% 
lr: [0.00031622776601683783]Epoch 150, Train Loss:1.88, Valid_Loss:0.43, Valid_Accuracy:75.62% 
lr: [0.00031622776601683783]Epoch 151, Train Loss:3.69, Valid_Loss:1.23, Valid_Accuracy:74.38% 
lr: [0.00031622776601683783]Epoch 152, Train Loss:0.88, Valid_Loss:0.69, Valid_Accuracy:76.25% 
lr: [0.00030902954325135894]Epoch 153, Train Loss:2.47, Valid_Loss:1.00, Valid_Accuracy:81.88% 
lr: [0.00030902954325135894]Epoch 154, Train Loss:1.74, Valid_Loss:0.60, Valid_Accuracy:81.25% 
lr: [0.00030902954325135894]Epoch 155, Train Loss:7.73, Valid_Loss:0.32, Valid_Accuracy:77.50% 
lr: [0.0003019951720402015]Epoch 156, Train Loss:0.51, Valid_Loss:0.68, Valid_Accuracy:81.25% 
lr: [0.0003019951720402015]Epoch 157, Train Loss:0.57, Valid_Loss:0.59, Valid_Accuracy:81.88% 
lr: [0.0003019951720402015]Epoch 158, Train Loss:4.86, Valid_Loss:1.05, Valid_Accuracy:78.12% 
lr: [0.00029512092266663847]Epoch 159, Train Loss:1.35, Valid_Loss:0.98, Valid_Accuracy:78.12% 
lr: [0.00029512092266663847]Epoch 160, Train Loss:0.03, Valid_Loss:0.44, Valid_Accuracy:81.88% 
lr: [0.00029512092266663847]Epoch 161, Train Loss:0.69, Valid_Loss:0.15, Valid_Accuracy:80.62% 
lr: [0.0002884031503126605]Epoch 162, Train Loss:3.32, Valid_Loss:0.55, Valid_Accuracy:81.88% 
lr: [0.0002884031503126605]Epoch 163, Train Loss:2.06, Valid_Loss:0.10, Valid_Accuracy:84.38% 
lr: [0.0002884031503126605]Epoch 164, Train Loss:0.26, Valid_Loss:1.09, Valid_Accuracy:82.50% 
lr: [0.0002818382931264453]Epoch 165, Train Loss:0.17, Valid_Loss:0.54, Valid_Accuracy:83.75% 
lr: [0.0002818382931264453]Epoch 166, Train Loss:3.28, Valid_Loss:1.20, Valid_Accuracy:81.88% 
lr: [0.0002818382931264453]Epoch 167, Train Loss:0.06, Valid_Loss:1.20, Valid_Accuracy:83.12% 
lr: [0.00027542287033381657]Epoch 168, Train Loss:4.07, Valid_Loss:0.70, Valid_Accuracy:80.00% 
lr: [0.00027542287033381657]Epoch 169, Train Loss:10.91, Valid_Loss:0.68, Valid_Accuracy:77.50% 
lr: [0.00027542287033381657]Epoch 170, Train Loss:1.53, Valid_Loss:1.49, Valid_Accuracy:75.00% 
lr: [0.0002691534803926915]Epoch 171, Train Loss:2.98, Valid_Loss:0.48, Valid_Accuracy:78.75% 
