lr: [0.001]Epoch 1, Train Loss:4.06, Valid_Loss:3.77, Valid_Accuracy:11.34% 
lr: [0.000562341325190349]Epoch 75, Train Loss:0.05, Valid_Loss:0.03, Valid_Accuracy:92.82% 
lr: [0.000562341325190349]Epoch 76, Train Loss:0.01, Valid_Loss:0.25, Valid_Accuracy:90.97% 
lr: [0.000562341325190349]Epoch 77, Train Loss:0.00, Valid_Loss:0.68, Valid_Accuracy:90.74% 
lr: [0.0005495408738576244]Epoch 78, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:90.97% 
lr: [0.0005495408738576244]Epoch 79, Train Loss:0.05, Valid_Loss:0.25, Valid_Accuracy:92.13% 
lr: [0.0005495408738576244]Epoch 80, Train Loss:0.70, Valid_Loss:0.00, Valid_Accuracy:91.90% 
lr: [0.0005370317963702526]Epoch 81, Train Loss:0.00, Valid_Loss:0.04, Valid_Accuracy:91.90% 
lr: [0.0005370317963702526]Epoch 82, Train Loss:0.55, Valid_Loss:0.96, Valid_Accuracy:92.36% 
lr: [0.0005370317963702526]Epoch 83, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:91.90% 
lr: [0.0005248074602497725]Epoch 84, Train Loss:0.00, Valid_Loss:0.21, Valid_Accuracy:93.29% 
lr: [0.0005248074602497725]Epoch 85, Train Loss:0.04, Valid_Loss:0.75, Valid_Accuracy:91.67% 
lr: [0.0005248074602497725]Epoch 86, Train Loss:0.00, Valid_Loss:0.36, Valid_Accuracy:91.44% 
lr: [0.0005128613839913647]Epoch 87, Train Loss:0.05, Valid_Loss:0.21, Valid_Accuracy:92.59% 
lr: [0.0005128613839913647]Epoch 88, Train Loss:0.01, Valid_Loss:0.49, Valid_Accuracy:90.51% 
lr: [0.0005128613839913647]Epoch 89, Train Loss:0.01, Valid_Loss:1.03, Valid_Accuracy:91.67% 
lr: [0.0005011872336272722]Epoch 90, Train Loss:0.00, Valid_Loss:0.06, Valid_Accuracy:92.13% 
lr: [0.0005011872336272722]Epoch 91, Train Loss:0.18, Valid_Loss:1.06, Valid_Accuracy:93.06% 
lr: [0.0005011872336272722]Epoch 92, Train Loss:0.01, Valid_Loss:0.11, Valid_Accuracy:92.59% 
lr: [0.0004897788193684461]Epoch 93, Train Loss:0.03, Valid_Loss:0.10, Valid_Accuracy:93.06% 
lr: [0.0004897788193684461]Epoch 94, Train Loss:0.00, Valid_Loss:0.20, Valid_Accuracy:92.82% 
lr: [0.0004897788193684461]Epoch 95, Train Loss:0.00, Valid_Loss:0.03, Valid_Accuracy:93.98% 
