lr: 1.6099840000000458e-06Epoch 104, Train Loss:3.88, Valid_Loss:3.63, Valid_Accuracy:83.89% 
lr: 1.6253684615384203e-06Epoch 105, Train Loss:5.00, Valid_Loss:8.50, Valid_Accuracy:84.40% 
lr: 1.6407529230770167e-06Epoch 106, Train Loss:4.16, Valid_Loss:2.92, Valid_Accuracy:87.42% 
lr: 1.6561373846153912e-06Epoch 107, Train Loss:3.81, Valid_Loss:7.92, Valid_Accuracy:84.40% 
lr: 1.6715218461537658e-06Epoch 108, Train Loss:2.72, Valid_Loss:2.34, Valid_Accuracy:85.23% 
lr: 1.6869063076923622e-06Epoch 109, Train Loss:0.85, Valid_Loss:3.39, Valid_Accuracy:85.91% 
lr: 1.7022907692307367e-06Epoch 110, Train Loss:4.71, Valid_Loss:7.11, Valid_Accuracy:85.40% 
lr: 1.7176752307693332e-06Epoch 111, Train Loss:3.41, Valid_Loss:2.24, Valid_Accuracy:87.08% 
lr: 1.7330596923077075e-06Epoch 112, Train Loss:2.44, Valid_Loss:9.14, Valid_Accuracy:87.42% 
lr: 1.748444153846082e-06Epoch 113, Train Loss:2.13, Valid_Loss:5.00, Valid_Accuracy:87.25% 
lr: 1.7638286153846784e-06Epoch 114, Train Loss:3.79, Valid_Loss:2.71, Valid_Accuracy:87.58% 
lr: 1.779213076923053e-06Epoch 115, Train Loss:1.86, Valid_Loss:3.22, Valid_Accuracy:85.74% 
lr: 1.7945975384616494e-06Epoch 116, Train Loss:3.29, Valid_Loss:4.11, Valid_Accuracy:87.58% 
lr: 1.8099820000000239e-06Epoch 117, Train Loss:5.42, Valid_Loss:3.78, Valid_Accuracy:86.91% 
lr: 1.8253664615383982e-06Epoch 118, Train Loss:2.98, Valid_Loss:5.19, Valid_Accuracy:87.58% 
lr: 1.8407509230769948e-06Epoch 119, Train Loss:2.76, Valid_Loss:7.80, Valid_Accuracy:86.91% 
lr: 1.8561353846153692e-06Epoch 120, Train Loss:4.16, Valid_Loss:5.83, Valid_Accuracy:87.58% 
lr: 1.8715198461537437e-06Epoch 121, Train Loss:2.91, Valid_Loss:3.45, Valid_Accuracy:87.08% 
lr: 1.8869043076923401e-06Epoch 122, Train Loss:2.32, Valid_Loss:4.49, Valid_Accuracy:87.92% 
lr: 1.9022887692307146e-06Epoch 123, Train Loss:1.83, Valid_Loss:4.85, Valid_Accuracy:86.91% 
lr: 1.9176732307693113e-06Epoch 124, Train Loss:3.32, Valid_Loss:4.05, Valid_Accuracy:87.58% 
lr: 1.9330576923076856e-06Epoch 125, Train Loss:4.33, Valid_Loss:3.41, Valid_Accuracy:88.76% 
lr: 1.94844215384606e-06Epoch 126, Train Loss:2.88, Valid_Loss:2.52, Valid_Accuracy:88.59% 
lr: 1.9638266153846565e-06Epoch 127, Train Loss:4.70, Valid_Loss:9.62, Valid_Accuracy:87.92% 
lr: 1.979211076923031e-06Epoch 128, Train Loss:2.06, Valid_Loss:2.89, Valid_Accuracy:90.27% 
lr: 1.9945955384616275e-06Epoch 129, Train Loss:2.63, Valid_Loss:4.76, Valid_Accuracy:90.10% 
lr: 2.009980000000002e-06Epoch 130, Train Loss:4.65, Valid_Loss:6.70, Valid_Accuracy:88.93% 
lr: 2.025364461538376e-06Epoch 131, Train Loss:1.29, Valid_Loss:5.69, Valid_Accuracy:88.59% 
lr: 2.0407489230769728e-06Epoch 132, Train Loss:1.62, Valid_Loss:5.87, Valid_Accuracy:88.59% 
lr: 2.056133384615347e-06Epoch 133, Train Loss:1.99, Valid_Loss:5.07, Valid_Accuracy:89.77% 
lr: 2.0715178461539437e-06Epoch 134, Train Loss:3.50, Valid_Loss:5.00, Valid_Accuracy:90.27% 
lr: 2.086902307692318e-06Epoch 135, Train Loss:1.74, Valid_Loss:6.76, Valid_Accuracy:90.44% 
lr: 2.1022867692306928e-06Epoch 136, Train Loss:3.18, Valid_Loss:4.48, Valid_Accuracy:90.27% 
lr: 2.117671230769289e-06Epoch 137, Train Loss:1.91, Valid_Loss:5.33, Valid_Accuracy:89.26% 
lr: 2.1330556923076637e-06Epoch 138, Train Loss:2.82, Valid_Loss:6.56, Valid_Accuracy:89.60% 
lr: 2.14844015384626e-06Epoch 139, Train Loss:1.39, Valid_Loss:4.15, Valid_Accuracy:88.93% 
lr: 2.1638246153846347e-06Epoch 140, Train Loss:1.46, Valid_Loss:3.48, Valid_Accuracy:90.27% 
lr: 2.179209076923009e-06Epoch 141, Train Loss:2.28, Valid_Loss:4.52, Valid_Accuracy:90.27% 
lr: 2.194593538461605e-06Epoch 142, Train Loss:4.44, Valid_Loss:1.72, Valid_Accuracy:90.94% 
lr: 2.20997799999998e-06Epoch 143, Train Loss:2.39, Valid_Loss:5.97, Valid_Accuracy:87.92% 
lr: 2.2253624615383542e-06Epoch 144, Train Loss:1.89, Valid_Loss:4.93, Valid_Accuracy:90.94% 
lr: 2.240746923076951e-06Epoch 145, Train Loss:2.68, Valid_Loss:4.31, Valid_Accuracy:90.27% 
lr: 2.256131384615325e-06Epoch 146, Train Loss:0.83, Valid_Loss:1.98, Valid_Accuracy:90.10% 
lr: 2.271515846153922e-06Epoch 147, Train Loss:1.35, Valid_Loss:5.09, Valid_Accuracy:90.27% 
lr: 2.286900307692296e-06Epoch 148, Train Loss:1.04, Valid_Loss:6.20, Valid_Accuracy:91.11% 
lr: 2.3022847692306705e-06Epoch 149, Train Loss:0.74, Valid_Loss:6.96, Valid_Accuracy:90.44% 
lr: 2.317669230769267e-06Epoch 150, Train Loss:2.37, Valid_Loss:6.42, Valid_Accuracy:91.78% 
lr: 2.3330536923076414e-06Epoch 151, Train Loss:2.65, Valid_Loss:3.27, Valid_Accuracy:91.28% 
lr: 2.348438153846238e-06Epoch 152, Train Loss:3.82, Valid_Loss:5.40, Valid_Accuracy:91.61% 
lr: 2.3638226153846124e-06Epoch 153, Train Loss:1.80, Valid_Loss:4.81, Valid_Accuracy:90.60% 
lr: 2.379207076922987e-06Epoch 154, Train Loss:2.50, Valid_Loss:6.40, Valid_Accuracy:91.44% 
lr: 2.3945915384615833e-06Epoch 155, Train Loss:1.99, Valid_Loss:4.36, Valid_Accuracy:92.11% 
lr: 2.4099759999999576e-06Epoch 156, Train Loss:1.54, Valid_Loss:3.87, Valid_Accuracy:91.44% 
